Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 4 5 9,0.0644147,11.0299,Yes,N/A,N/A,3,4,5,1 5,3 4,3 5,9,1 9,N/A,3 9
1 3 4 5 8,0.0857946,8.96462,Yes,N/A,N/A,3,4,5,1 5,3 4,8,4 5,1 4 5,3 8,4 8
3 4 5 8,0.0512903,12.32,Yes,N/A,N/A,3,4,5,N/A,3 4,8,4 5,N/A,3 8,4 8
1 3 4 5 8 9,0.0437671,14.6587,Yes,N/A,N/A,3,4,5,1 5,3 4,8,9,1 9,3 8,3 9
1 3 4 5 7,0.110668,7.32169,Yes,N/A,N/A,3,4,5,1 5,7,3 5,4 5,3 7,4 7,5 7
1 3 4 5 7 9,0.0552583,12.8476,Yes,N/A,N/A,3,4,5,1 5,7,3 5,9,3 7,4 7,3 9
1 3 4 5 7 8,0.0748526,11.1137,Yes,N/A,N/A,3,4,5,1 5,7,8,4 5,3 7,3 8,4 8
1 3 4 5 7 8 9,0.0402398,16.5237,Yes,N/A,N/A,3,4,5,1 5,7,8,9,3 7,3 8,3 9
1 3 4 5 6,0.130794,6.42728,Yes,N/A,N/A,3,4,5,6,3 4,3 5,3 6,4 6,5 6,3 4 5
1 3 4 5 6 9,0.0642504,11.826,Yes,N/A,N/A,3,4,5,6,3 4,3 5,9,4 6,5 6,3 9
1 3 4 5 6 8,0.083071,10.1148,Yes,N/A,N/A,3,4,5,6,3 4,8,3 6,4 6,3 8,4 8
1 3 4 5 6 8 9,0.0451949,15.3073,Yes,N/A,N/A,3,4,5,6,3 4,8,9,4 6,3 8,3 9
1 3 4 5 6 7,0.107271,8.32046,Yes,N/A,N/A,3,4,5,6,7,3 5,3 6,3 7,4 7,5 7
1 3 4 5 6 7 9,0.0568922,13.4888,Yes,N/A,N/A,3,4,5,6,7,3 5,9,3 7,4 7,3 9
