Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 6 12,0.0105453,16.2778,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,12
6,0.138889,5.16667,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
1 6 11,0.0288066,14.5556,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,1 11
6 12,0.00771605,16.6667,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,12
1 6 11 12,0.00207905,26.1667,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,12
1 6 10,0.0470679,12.8056,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,N/A
1 6 10 12,0.00392233,24.1111,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,12
6 11,0.0154321,15.3611,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,11,N/A
6 11 12,0.00128601,26.7778,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,11,12
6 10,0.0231481,14.1111,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,N/A,N/A
1 6 10 11,0.00848765,22.9444,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,1 11
6 10 12,0.00192901,25.5,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,N/A,12
1 6 10 11 12,0.000835905,34.5278,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,12
1 6 9,0.0653292,11.3056,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A
1 6 9 12,0.0054441,22.4444,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,12
6 9,0.0308642,12.9167,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
1 6 9 11,0.0134602,20.3611,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,1 11
6 9 12,0.00257202,24.25,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,12
1 6 9 11 12,0.00135269,31.9444,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,12
6 10 11,0.00385802,24.1667,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,11,N/A
6 10 11 12,0.000428669,35.4722,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,11,12
1 6 9 10,0.0185828,19.5,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,N/A
1 6 9 10 12,0.00206476,30.75,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,12
6 9 11,0.00514403,22.8889,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,11,N/A
6 9 11 12,0.000571559,34.1944,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,11,12
6 9 10,0.00771605,21.4444,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,N/A,N/A
1 6 9 10 11,0.00441529,29.4167,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,1 11
6 9 10 12,0.000857339,32.8889,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,N/A,12
1 6 9 10 11 12,0.000553698,41,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,12
